EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE583000-165600	1985-01-01	0.00	6.000	8.003	0.501	0.619	3.012	0.103	18.407	0.289	6.8
SE583000-165600	1985-01-01	0.25	6.000	8.003	0.501	0.619	3.012	0.103	18.407	0.289	6.8
SE583000-165600	1985-01-01	0.75	6.000	8.003	0.501	0.621	3.012	0.103	18.433	0.294	6.8
SE583000-165600	1985-01-01	1.25	6.000	8.002	0.501	0.621	3.011	0.103	18.432	0.294	6.8
SE583000-165600	1985-01-01	1.75	6.000	8.002	0.501	0.621	3.011	0.102	18.432	0.294	6.8
SE583000-165600	1985-01-01	2.25	6.000	8.002	0.501	0.621	3.011	0.102	18.432	0.294	6.8
SE583000-165600	1985-01-01	2.75	6.000	8.001	0.501	0.621	3.011	0.102	18.433	0.294	6.8
SE583000-165600	1985-01-01	3.25	6.000	8.001	0.501	0.621	3.010	0.102	18.433	0.294	6.8
SE583000-165600	1985-01-01	3.75	6.000	8.001	0.501	0.621	3.011	0.102	18.433	0.294	6.8
SE583000-165600	1985-01-01	4.50	6.000	8.001	0.501	0.621	3.010	0.102	18.433	0.294	6.8
SE583000-165600	1985-01-01	5.50	6.000	8.000	0.501	0.621	3.010	0.102	18.434	0.294	6.8
SE583000-165600	1985-01-01	6.50	6.000	8.000	0.501	0.621	3.010	0.101	18.435	0.295	6.8
SE583000-165600	1985-01-01	7.50	6.000	7.999	0.501	0.621	3.010	0.101	18.436	0.295	6.8
SE583000-165600	1985-01-01	8.50	6.000	7.999	0.501	0.621	3.010	0.101	18.437	0.295	6.8
SE583000-165600	1985-01-01	9.50	6.000	7.998	0.501	0.621	3.010	0.100	18.440	0.296	6.8
SE583000-165600	1985-01-01	37.50	6.000	7.977	0.506	0.626	3.066	0.100	18.486	0.296	6.8
