EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE645500-212000	1985-01-01	0.00	3.000	8.079	0.500	0.619	3.006	0.100	18.402	0.290	6.8
SE645500-212000	1985-01-01	0.25	3.000	8.079	0.500	0.619	3.006	0.100	18.402	0.290	6.8
SE645500-212000	1985-01-01	0.75	3.000	8.073	0.500	0.621	3.005	0.100	18.430	0.295	6.8
SE645500-212000	1985-01-01	1.25	3.000	8.070	0.500	0.621	3.005	0.100	18.430	0.295	6.8
SE645500-212000	1985-01-01	1.75	3.000	8.067	0.500	0.621	3.005	0.100	18.430	0.295	6.8
SE645500-212000	1985-01-01	2.25	3.000	8.065	0.500	0.621	3.005	0.100	18.430	0.295	6.8
SE645500-212000	1985-01-01	2.75	3.000	8.063	0.500	0.621	3.005	0.100	18.431	0.295	6.8
SE645500-212000	1985-01-01	3.25	3.000	8.062	0.500	0.621	3.005	0.100	18.431	0.295	6.8
SE645500-212000	1985-01-01	3.75	3.000	8.061	0.500	0.621	3.006	0.100	18.431	0.295	6.8
SE645500-212000	1985-01-01	4.50	3.000	8.059	0.500	0.621	3.005	0.100	18.431	0.295	6.8
SE645500-212000	1985-01-01	5.50	3.000	8.057	0.500	0.621	3.005	0.100	18.431	0.295	6.8
SE645500-212000	1985-01-01	6.50	3.000	8.055	0.500	0.621	3.005	0.100	18.431	0.295	6.8
SE645500-212000	1985-01-01	7.50	3.000	8.053	0.500	0.621	3.006	0.100	18.431	0.295	6.8
SE645500-212000	1985-01-01	8.50	3.000	8.051	0.500	0.621	3.006	0.100	18.432	0.295	6.8
SE645500-212000	1985-01-01	9.50	3.000	8.050	0.500	0.621	3.006	0.100	18.432	0.295	6.8
SE645500-212000	1985-01-01	44.50	3.000	7.976	0.503	0.623	3.068	0.100	18.488	0.296	6.8
SE645500-212000	1985-01-01	45.00	3.000	7.976	0.503	0.623	3.068	0.100	18.488	0.296	6.8
