EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE592280-183550	1985-01-01	0.00	4.000	8.005	0.500	0.619	3.005	0.102	18.402	0.289	6.8
SE592280-183550	1985-01-01	0.25	4.000	8.005	0.500	0.619	3.005	0.102	18.402	0.289	6.8
SE592280-183550	1985-01-01	0.75	4.000	8.004	0.500	0.620	3.005	0.102	18.429	0.294	6.8
SE592280-183550	1985-01-01	1.25	4.000	8.004	0.500	0.620	3.005	0.102	18.429	0.294	6.8
SE592280-183550	1985-01-01	1.75	4.000	8.003	0.500	0.620	3.004	0.102	18.429	0.294	6.8
SE592280-183550	1985-01-01	2.25	4.000	8.003	0.500	0.620	3.004	0.102	18.429	0.295	6.8
SE592280-183550	1985-01-01	2.75	4.000	8.003	0.500	0.620	3.004	0.101	18.429	0.295	6.8
SE592280-183550	1985-01-01	3.25	4.000	8.003	0.500	0.620	3.004	0.101	18.429	0.295	6.8
SE592280-183550	1985-01-01	3.75	4.000	8.003	0.500	0.620	3.004	0.101	18.429	0.295	6.8
SE592280-183550	1985-01-01	4.50	4.000	8.002	0.500	0.620	3.004	0.101	18.429	0.295	6.8
SE592280-183550	1985-01-01	5.50	4.000	8.002	0.500	0.620	3.004	0.101	18.430	0.295	6.8
SE592280-183550	1985-01-01	6.50	4.000	8.002	0.500	0.620	3.003	0.101	18.430	0.295	6.8
SE592280-183550	1985-01-01	7.50	4.000	8.002	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE592280-183550	1985-01-01	8.50	4.000	8.001	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE592280-183550	1985-01-01	9.50	4.000	8.001	0.500	0.621	3.003	0.101	18.432	0.296	6.8
SE592280-183550	1985-01-01	66.50	4.000	7.978	0.503	0.623	3.065	0.100	18.484	0.296	6.8
SE592280-183550	1985-01-01	67.00	4.000	7.978	0.503	0.623	3.065	0.100	18.484	0.296	6.8
SE592280-183550	1985-01-02	0.00	4.000	8.032	0.500	0.618	3.013	0.103	18.402	0.282	6.9
SE592280-183550	1985-01-02	0.25	4.000	8.032	0.500	0.618	3.013	0.103	18.402	0.282	6.9
SE592280-183550	1985-01-02	0.75	4.000	8.031	0.500	0.620	3.013	0.103	18.429	0.287	6.9
SE592280-183550	1985-01-02	1.25	4.000	8.030	0.500	0.620	3.013	0.103	18.429	0.287	6.9
SE592280-183550	1985-01-02	1.75	4.000	8.030	0.500	0.620	3.012	0.103	18.428	0.287	6.9
SE592280-183550	1985-01-02	2.25	4.000	8.029	0.500	0.620	3.012	0.103	18.428	0.287	6.9
SE592280-183550	1985-01-02	2.75	4.000	8.029	0.500	0.620	3.012	0.103	18.428	0.287	6.9
SE592280-183550	1985-01-02	3.25	4.000	8.029	0.500	0.620	3.012	0.103	18.428	0.287	6.9
SE592280-183550	1985-01-02	3.75	4.000	8.028	0.500	0.620	3.012	0.103	18.429	0.287	6.9
SE592280-183550	1985-01-02	4.50	4.000	8.028	0.500	0.620	3.012	0.103	18.429	0.287	6.9
SE592280-183550	1985-01-02	5.50	4.000	8.027	0.500	0.620	3.012	0.102	18.429	0.287	6.9
SE592280-183550	1985-01-02	6.50	4.000	8.027	0.500	0.620	3.012	0.102	18.429	0.287	6.9
SE592280-183550	1985-01-02	7.50	4.000	8.026	0.500	0.620	3.012	0.102	18.429	0.287	6.9
SE592280-183550	1985-01-02	8.50	4.000	8.026	0.500	0.620	3.012	0.102	18.429	0.287	6.9
SE592280-183550	1985-01-02	9.50	4.000	8.026	0.500	0.620	3.012	0.102	18.430	0.287	6.9
SE592280-183550	1985-01-02	66.50	4.000	7.943	0.508	0.627	3.164	0.100	18.579	0.285	6.9
SE592280-183550	1985-01-02	67.00	4.000	7.943	0.508	0.627	3.164	0.100	18.579	0.285	6.9
SE592280-183550	1985-01-03	0.00	4.000	8.138	0.501	0.618	3.029	0.104	18.411	0.270	6.9
SE592280-183550	1985-01-03	0.25	4.000	8.138	0.501	0.618	3.029	0.104	18.411	0.270	6.9
SE592280-183550	1985-01-03	0.75	4.000	8.133	0.501	0.620	3.029	0.104	18.437	0.275	6.9
SE592280-183550	1985-01-03	1.25	4.000	8.130	0.501	0.620	3.029	0.104	18.437	0.275	6.9
SE592280-183550	1985-01-03	1.75	4.000	8.128	0.501	0.620	3.029	0.104	18.437	0.275	6.9
SE592280-183550	1985-01-03	2.25	4.000	8.127	0.501	0.620	3.028	0.104	18.437	0.275	6.9
SE592280-183550	1985-01-03	2.75	4.000	8.126	0.501	0.620	3.028	0.104	18.437	0.275	6.9
